field.markers39.marker_name,field.markers39.subject_name,field.markers39.segment_name,field.markers39.translation.x,field.markers39.translation.y,field.markers39.translation.z,field.markers39.occluded,field.markers40.marker_name,field.markers40.subject_name,field.markers40.segment_name,field.markers40.translation.x,field.markers40.translation.y,field.markers40.translation.z,field.markers40.occluded,field.markers41.marker_name,field.markers41.subject_name,field.markers41.segment_name,field.markers41.translation.x,field.markers41.translation.y,field.markers41.translation.z,field.markers41.occluded,field.markers42.marker_name,field.markers42.subject_name,field.markers42.segment_name,field.markers42.translation.x,field.markers42.translation.y,field.markers42.translation.z,field.markers42.occluded
Bottle 1,Bottle,Bottle,1159.74133301,189.43850708,172.868591309,0,Bottle 2,Bottle,Bottle,1120.55187988,198.383987427,56.8660240173,0,Bottle 3,Bottle,Bottle,1194.93273926,213.462432861,59.3487052917,0,Bottle 4,Bottle,Bottle,1184.27648926,148.094482422,59.4093017578,0
Bottle 1,Bottle,Bottle,1159.70288086,189.328445435,172.742797852,0,Bottle 2,Bottle,Bottle,1120.51464844,198.482055664,56.9410438538,0,Bottle 3,Bottle,Bottle,1194.9552002,213.470840454,59.4148101807,0,Bottle 4,Bottle,Bottle,1184.23535156,148.094192505,59.4677276611,0
Bottle 1,Bottle,Bottle,1159.90698242,189.364425659,172.836669922,0,Bottle 2,Bottle,Bottle,1120.35668945,198.562774658,57.0517616272,0,Bottle 3,Bottle,Bottle,1194.91101074,213.483444214,59.3851089478,0,Bottle 4,Bottle,Bottle,1184.24365234,148.129196167,59.4467735291,0
Bottle 1,Bottle,Bottle,1159.89953613,189.372116089,172.837982178,0,Bottle 2,Bottle,Bottle,1120.21813965,198.603942871,57.0639953613,0,Bottle 3,Bottle,Bottle,1194.90246582,213.47605896,59.3853340149,0,Bottle 4,Bottle,Bottle,1184.2611084,148.129577637,59.4407234192,0
Bottle 1,Bottle,Bottle,1159.91577148,189.371276855,172.838317871,0,Bottle 2,Bottle,Bottle,1120.17407227,198.592437744,57.075012207,0,Bottle 3,Bottle,Bottle,1194.94433594,213.477706909,59.3867759705,0,Bottle 4,Bottle,Bottle,1184.43493652,147.985702515,59.3119773865,0
Bottle 1,Bottle,Bottle,1159.90600586,189.369995117,172.819732666,0,Bottle 2,Bottle,Bottle,1120.53271484,198.463516235,56.8702354431,0,Bottle 3,Bottle,Bottle,1194.92260742,213.464447021,59.3524017334,0,Bottle 4,Bottle,Bottle,1184.42480469,147.986022949,59.3215065002,0
Bottle 1,Bottle,Bottle,1159.90930176,189.376098633,172.829116821,0,Bottle 2,Bottle,Bottle,1120.44824219,198.698532104,56.9395637512,0,Bottle 3,Bottle,Bottle,1194.93664551,213.47354126,59.3855705261,0,Bottle 4,Bottle,Bottle,1184.44262695,147.97946167,59.3739585876,0
Bottle 1,Bottle,Bottle,1159.8762207,189.384048462,172.817642212,0,Bottle 2,Bottle,Bottle,1120.55358887,198.425735474,56.8551139832,0,Bottle 3,Bottle,Bottle,1194.93322754,213.477249146,59.354637146,0,Bottle 4,Bottle,Bottle,1184.43237305,147.968048096,59.389175415,0
Bottle 1,Bottle,Bottle,1159.89355469,189.373352051,172.839691162,0,Bottle 2,Bottle,Bottle,1120.53405762,198.429092407,56.8544158936,0,Bottle 3,Bottle,Bottle,1194.9107666,213.490203857,59.3669548035,0,Bottle 4,Bottle,Bottle,1184.41467285,147.976287842,59.3514976501,0
Bottle 1,Bottle,Bottle,1159.90649414,189.370437622,172.840637207,0,Bottle 2,Bottle,Bottle,1120.39587402,198.725967407,56.9407615662,0,Bottle 3,Bottle,Bottle,1194.94250488,213.463317871,59.3507194519,0,Bottle 4,Bottle,Bottle,1184.4654541,147.986190796,59.3516120911,0
